Transaction_ID,Product_Name,Category,Price_USD,Quantity_Sold,Customer_Rating
TXN-1001,USB Drive,Accessories,958.9,280,4.5
TXN-1002,Headphones,Accessories,199.88,476,3.2
TXN-1003,Desk Lamp,Office Supplies,410.44,369,4.4
TXN-1004,Webcam,Electronics,81.85,353,4.7
TXN-1005,Webcam,Electronics,15.92,453,3.4
TXN-1006,Smartphone,Electronics,636.84,245,3.0
TXN-1007,Smartphone,Electronics,70.3,197,3.7
TXN-1008,Keyboard,Accessories,468.22,253,4.2
TXN-1009,Keyboard,Accessories,1034.03,144,3.3
TXN-1010,USB Drive,Accessories,30.72,98,4.9
TXN-1011,Mouse,Accessories,471.72,355,3.2
TXN-1012,Monitor,Electronics,300.62,453,3.2
TXN-1013,Desk Lamp,Office Supplies,55.75,215,3.8
TXN-1014,Mouse,Accessories,800.09,11,3.9
TXN-1015,Webcam,Electronics,662.85,319,3.1
TXN-1016,Mouse,Accessories,933.53,171,3.8
TXN-1017,Monitor,Electronics,723.51,313,3.7
TXN-1018,USB Drive,Accessories,632.19,199,3.7
TXN-1019,Mouse,Accessories,654.54,289,3.7
TXN-1020,Tablet,Electronics,366.08,310,3.1
TXN-1021,USB Drive,Accessories,516.73,138,3.4
TXN-1022,Desk Lamp,Office Supplies,31.68,90,4.4
TXN-1023,Keyboard,Accessories,928.96,270,4.9
TXN-1024,Smartphone,Electronics,152.3,144,4.7
TXN-1025,Mouse,Accessories,128.06,416,4.3
TXN-1026,Headphones,Accessories,879.58,369,3.5
TXN-1027,Keyboard,Accessories,574.57,110,4.9
TXN-1028,Keyboard,Accessories,916.53,227,3.5
TXN-1029,USB Drive,Accessories,62.91,216,3.9
TXN-1030,Smartphone,Electronics,535.61,188,3.1
TXN-1031,USB Drive,Accessories,578.31,105,4.4
TXN-1032,Headphones,Accessories,310.41,246,4.1
TXN-1033,Monitor,Electronics,1132.28,336,3.6
TXN-1034,Webcam,Electronics,1058.35,179,4.6
TXN-1035,Tablet,Electronics,140.01,293,4.6
TXN-1036,Monitor,Electronics,1072.68,340,3.6
TXN-1037,USB Drive,Accessories,1076.87,240,4.8
TXN-1038,Laptop,Electronics,285.1,455,3.0
TXN-1039,Tablet,Electronics,376.17,207,4.0
TXN-1040,Tablet,Electronics,589.52,234,3.2
TXN-1041,Desk Lamp,Office Supplies,1132.35,383,3.4
TXN-1042,Desk Lamp,Office Supplies,848.08,122,3.1
TXN-1043,Smartphone,Electronics,1155.5,304,4.0
TXN-1044,Laptop,Electronics,190.48,449,3.1
TXN-1045,Laptop,Electronics,1172.29,229,3.1
